x,y,foregroundColor,backgroundColor,character
0,5,#000000,reset,█
1,5,#000BB8,reset,█
2,5,#001770,reset,█
3,5,#002328,reset,█
4,5,#002EE0,reset,█
5,5,#003A98,reset,█
6,5,#004650,reset,█
7,5,#005208,reset,█
8,5,#005DC0,reset,█
9,5,#006978,reset,█
10,5,#007530,reset,█
11,5,#0080E8,reset,█
12,5,#008CA0,reset,█
13,5,#009858,reset,█
14,5,#00A410,reset,█
15,5,#00AFC8,reset,█
16,5,#00BB80,reset,█
17,5,#00C738,reset,█
18,5,#00D2F0,reset,█
19,5,#00DEA8,reset,█
20,5,#00EA60,reset,█
21,5,#00F618,reset,█
22,5,#0101D0,reset,█
23,5,#010D88,reset,█
24,5,#011940,reset,█
25,5,#0124F8,reset,█
26,5,#0130B0,reset,█
27,5,#013C68,reset,█
28,5,#014820,reset,█
29,5,#0153D8,reset,█
30,5,#015F90,reset,█
31,5,#016B48,reset,█
32,5,#017700,reset,█
33,5,#0182B8,reset,█
34,5,#018E70,reset,█
35,5,#019A28,reset,█
36,5,#01A5E0,reset,█
37,5,#01B198,reset,█
38,5,#01BD50,reset,█
39,5,#01C908,reset,█
40,5,#01D4C0,reset,█
41,5,#01E078,reset,█
42,5,#01EC30,reset,█
43,5,#01F7E8,reset,█
44,5,#0203A0,reset,█
45,5,#020F58,reset,█
46,5,#021B10,reset,█
47,5,#0226C8,reset,█
48,5,#023280,reset,█
49,5,#023E38,reset,█
50,5,#0249F0,reset,█
51,5,#0255A8,reset,█
52,5,#026160,reset,█
53,5,#026D18,reset,█
54,5,#0278D0,reset,█
55,5,#028488,reset,█
56,5,#029040,reset,█
57,5,#029BF8,reset,█
58,5,#02A7B0,reset,█
59,5,#02B368,reset,█
60,5,#02BF20,reset,█
61,5,#02CAD8,reset,█
62,5,#02D690,reset,█
63,5,#02E248,reset,█
64,5,#02EE00,reset,█
65,5,#02F9B8,reset,█
66,5,#030570,reset,█
67,5,#031128,reset,█
68,5,#031CE0,reset,█
69,5,#032898,reset,█
70,5,#033450,reset,█
71,5,#034008,reset,█
72,5,#034BC0,reset,█
73,5,#035778,reset,█
74,5,#036330,reset,█
75,5,#036EE8,reset,█
76,5,#037AA0,reset,█
77,5,#038658,reset,█
78,5,#039210,reset,█
79,5,#039DC8,reset,█
80,5,#03A980,reset,█
81,5,#03B538,reset,█
82,5,#03C0F0,reset,█
83,5,#03CCA8,reset,█
84,5,#03D860,reset,█
85,5,#03E418,reset,█
86,5,#03EFD0,reset,█
87,5,#03FB88,reset,█
88,5,#040740,reset,█
89,5,#0412F8,reset,█
90,5,#041EB0,reset,█
91,5,#042A68,reset,█
92,5,#043620,reset,█
93,5,#0441D8,reset,█
94,5,#044D90,reset,█
95,5,#045948,reset,█
96,5,#046500,reset,█
97,5,#0470B8,reset,█
98,5,#047C70,reset,█
99,5,#048828,reset,█
100,5,#0493E0,reset,█
